cID,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 036B2, 0, , , , , , , 1.3633, 1.76819, 0.982794, 0.404892, 0.380506, 0.392699, 0.363979, 0.661043, 0.0831412, 0.297064, 0.280838, 0.288951, 0.340825
12, 036B2, 1, , , , , , , 1.83705, 1.89255, 1.76819, 0.0554985, 0.0688565, 0.0621775, 0.785398, 0.965252, 0.588003, 0.179853, 0.197396, 0.188624, 0.125401
12, 036B2, 2, , , , , , , , , , , , , 5.74948, 5.58845, 5.99173, 0.16103, 0.242251, 0.201641, 0.201641
12, 036B2, 0, , , , , , , , , , , , , 4.30348, 4.53772, 4.05669, 0.234236, 0.246788, 0.240512, 0.240512
12, 036B2, 1, , , , , , , , , , , , , 4.39064, 4.4813, 4.29998, 0.09066, 0.0906596, 0.0906598, 0.0906598
12, 036B2, 2, , , , , , , , , , , , , 5.60266, 5.4452, 5.75511, 0.15746, 0.152447, 0.154953, 0.154953
12, 036B2, 0, , , , , , , , , , , , , 4.14566, 4.46741, 3.82391, 0.321751, 0.321751, 0.321751, 0.321751
12, 036B2, 1, , , , , , , , , , , , , 4.57049, 4.53254, 4.61272, 0.0379562, 0.0422286, 0.0400924, 0.0400924
12, 036B2, 2, , , , , , , , , , , , , 2.44685, 2.57026, 2.30861, 0.123401, 0.138243, 0.130822, 0.130822
12, 036B2, 0, , , , , , , , , , , , , 4.06458, 3.86824, 4.26797, 0.196342, 0.203392, 0.199867, 0.199867
12, 036B2, 1, , , , , , , 3.67332, 3.60524, 3.76184, 0.0680764, 0.0885257, 0.078301, 4.52704, 4.51499, 4.53772, 0.0120473, 0.0106758, 0.0113616, 0.0448313
12, 036B2, 2, , , , , , , , , , , , , 5.52104, 5.32311, 5.65044, 0.197924, 0.129397, 0.163661, 0.163661
12, 036B2, 0, , , , , , , , , , , , , 3.95639, 4.33188, 3.55172, 0.375488, 0.404674, 0.390081, 0.390081
12, 036B2, 1, , , , , , , , , , , , , 4.18911, 4.09214, 4.3176, 0.096971, 0.128487, 0.112729, 0.112729
12, 036B2, 2, , , , , , , , , , , , , 5.47215, 5.32311, 5.58845, 0.149037, 0.116295, 0.132666, 0.132666
12, 036B2, 0, , , , , , , , , , , , , 4.04919, 4.31387, 3.79444, 0.264681, 0.254746, 0.259714, 0.259714
12, 036B2, 1, , , , , , , , , , , , , 1.07437, 1.10715, 1.05165, 0.0327753, 0.0227234, 0.0277494, 0.0277494
12, 036B2, 2, , , , , , , , , , , , , 5.59948, 5.35589, 5.77609, 0.243586, 0.176611, 0.210098, 0.210098
12, 036B2, 0, , , , , , , , , , , , , 3.75935, 3.98249, 3.50557, 0.223141, 0.253777, 0.238459, 0.238459
12, 036B2, 1, , , , , , , , , , , , , 0.0270204, 0.0587558, -0, 0.0317353, 0.0270204, 0.0293779, 0.0293779
12, 036B2, 2, , , , , , , , , , , , , 2.56522, 2.67795, 2.42276, 0.112728, 0.142455, 0.127591, 0.127591
