class,h0, h1, h2, h3, h4, h5, h6, fl0, fl1, fl2, fl3, fl4, fl5, fl6, fle,  fa0, fa1, fa2, fa3, fa4, fa5, fa6, fae, c0, c1, c2, c3, c4, c5, c6, ce
1,0.295,0.444,0.334,0.435,0.417,0.294,-0.142,0,0.222,0.184,0.358,0.413,0.363,0,0.717,0,0.0217,-0.216,-0.242,-0.387,-0.0365,0,0.506,0,-0.00361,-0.173,-0.0415,0.0566,0.138,0,0.232
1,0.125,0.28,0.271,0.306,0.324,0.163,-0.142,0,0.199,0.235,0.314,0.378,0.26,0,0.636,0,-0.00066,-0.165,-0.286,-0.422,-0.14,0,0.554,0,-0.026,-0.122,-0.0858,0.0208,0.0352,0,0.157
1,-0.0183,0.355,0.42,0.547,0.528,0.376,-0.0757,0,0.383,0.457,0.594,0.584,0.442,0,1.12,0,0.116,-0.0759,-0.206,0.0508,0.175,0,0.308,0,0.0424,-0.0746,0,0.0522,0.102,0,0.143
1,0.164,0.43,0.529,0.674,0.622,0.312,-0.142,0,0.318,0.468,0.664,0.662,0.404,0,1.17,0,0.0513,-0.0658,-0.136,0.129,0.137,0,0.247,0,-0.0649,-0.128,0,0.0665,0.0208,0,0.159
1,0.644,0.444,0.438,0.574,0.591,0.224,-0.142,0,-0.0686,0.0564,0.324,0.471,0.236,0,0.625,0,-0.269,-0.344,-0.276,-0.329,-0.164,0,0.634,0,-0.294,-0.3,-0.0764,0.115,0.0104,0,0.442
1,0.256,0.538,0.636,0.735,0.682,0.39,-0.142,0,0.349,0.513,0.678,0.692,0.466,0,1.24,0,0.149,0.113,0.0782,-0.108,0.0657,0,0.239,0,-0.0433,-0.095,0,0.0831,0.0739,0,0.153
1,-0.0183,0.671,0.853,1.07,1.1,1,0.608,0,0.585,0.663,0.777,0.704,0.498,0,1.46,0,0.319,0.13,-0.0225,0.17,0.231,0,0.449,0,0.131,-0.0365,0,0.00415,0.0432,0,0.143
1,0.929,0.974,0.967,0.93,0.807,0.297,-0.142,0,0.224,0.395,0.536,0.592,0.261,0,0.955,0,0.0235,-0.00455,-0.0638,-0.208,-0.139,0,0.26,0,-0.0818,-0.0841,0,0.112,-0.0446,0,0.168
1,-0.0183,0.295,0.487,0.726,0.767,0.561,0.231,0,0.272,0.422,0.619,0.618,0.371,0,1.08,0,0.00525,-0.111,-0.181,0.085,0.105,0,0.251,0,-0.0837,-0.133,0,0.0634,0.0159,0,0.17
1,0.0592,0.309,0.446,0.567,0.553,0.264,-0.142,0,0.283,0.454,0.609,0.628,0.372,0,1.09,0,0.0834,0.0543,0.00887,-0.172,-0.0277,0,0.201,0,-0.0658,-0.091,0,0.083,0.0231,0,0.142
1,0.828,0.688,0.786,0.794,0.66,0.0776,-0.142,0,0.0209,0.281,0.451,0.479,0.0581,0,0.718,0,-0.179,-0.119,-0.149,-0.321,-0.342,0,0.537,0,-0.234,-0.121,0,0.0767,-0.197,0,0.338
1,0.57,0.717,0.747,0.812,0.656,0.36,-0.142,0,0.266,0.414,0.598,0.56,0.384,0,1.03,0,-0.000624,-0.119,-0.202,0.0271,0.117,0,0.263,0,-0.0768,-0.122,0,0.0246,0.0412,0,0.152
1,0.773,1.07,1.21,1.28,0.937,0.523,-0.142,0,0.452,0.739,0.963,0.775,0.513,0,1.59,0,0.131,0.0973,0,0.133,0.192,0,0.285,0,-0.125,-0.132,0,-0.0963,-0.0639,0,0.215
1,-0.0183,0.708,0.881,0.996,0.98,0.775,0.195,0,0.691,0.829,0.908,0.857,0.616,0,1.76,0,0.388,0.224,0,0.252,0.313,0,0.602,0,0.151,0.00903,0,0.037,0.0758,0,0.173
1,0.152,0.433,0.418,0.515,0.462,0.103,-0.142,0,0.33,0.364,0.51,0.507,0.197,0,0.893,0,0.063,-0.17,-0.29,-0.0267,-0.0702,0,0.35,0,0.0397,-0.0925,0,0.0504,-0.0935,0,0.146
1,0.0405,0.333,0.373,0.359,0.306,0.17,-0.142,0,0.323,0.393,0.41,0.387,0.282,0,0.81,0,0.0565,-0.14,-0.39,-0.146,0.0153,0,0.443,0,0.0921,0.0278,0,0.0218,0.0509,0,0.111
1,0.127,0.455,0.505,0.627,0.525,0.313,-0.142,0,0.373,0.468,0.634,0.578,0.41,0,1.12,0,0.106,-0.0653,-0.166,0.0445,0.144,0,0.256,0,0.00832,-0.1,0,0.00932,0.0456,0,0.111
1,1.06,1.27,1.21,1.14,0.975,0.471,-0.142,0,0.411,0.548,0.676,0.716,0.412,0,1.27,0,0.211,0.148,0.0761,-0.084,0.0121,0,0.282,0,0.0203,-0.0585,0,0.109,0.0215,0,0.128
1,0.564,0.601,0.7,0.675,0.671,0.216,-0.142,0,0.155,0.371,0.464,0.578,0.24,0,0.877,0,-0.0454,-0.0291,-0.136,-0.222,-0.16,0,0.31,0,-0.108,-0.0437,0,0.163,-0.0225,0,0.202
1,0.0343,0.185,0.178,0.158,0.157,-0.0188,-0.142,0,0.18,0.202,0.212,0.241,0.0941,0,0.43,0,-0.0203,-0.198,-0.388,-0.559,-0.306,0,0.772,0,-0.0456,-0.154,-0.188,-0.116,-0.131,0,0.303
1,0.487,0.539,0.526,0.565,0.568,0.101,-0.142,0,0.157,0.248,0.393,0.501,0.138,0,0.714,0,-0.043,-0.152,-0.207,-0.299,-0.262,0,0.475,0,-0.0683,-0.109,-0.00736,0.144,-0.0872,0,0.212
2,1.37,1.53,1.24,1.11,1.01,0.432,-0.142,0,0.414,0.376,0.5,0.643,0.322,0,1.04,0,0.214,-0.024,-0.1,-0.157,-0.0783,0,0.295,0,0.13,-0.0706,0,0.197,0.0381,0,0.249
2,-0.0183,0.416,0.46,0.497,0.554,0.316,0.0225,0,0.427,0.464,0.495,0.545,0.3,0,1.01,0,0.227,0.0643,-0.105,-0.255,-0.1,0,0.377,0,0.147,0.0224,0,0.103,0.0192,0,0.182
2,0.791,0.904,1.06,0.872,0.877,0.338,-0.142,0,0.269,0.581,0.548,0.708,0.325,0,1.15,0,0.0687,0.181,-0.0523,-0.0918,-0.0748,0,0.233,0,-0.0436,0.0907,0,0.218,0.013,0,0.241
2,1.19,1.4,1.45,1.32,1.16,0.535,-0.142,0,0.437,0.702,0.797,0.856,0.456,0,1.5,0,0.223,0.274,0.155,0,0.0275,0,0.387,0,-0.0303,-0.0148,0,0.139,-0.0113,0,0.143
2,1.06,1,1.1,1.03,1.04,0.349,-0.142,0,0.141,0.44,0.568,0.784,0.29,0,1.11,0,-0.0594,0.04,-0.032,-0.0164,-0.11,0,0.136,0,-0.184,-0.0683,0,0.275,-0.034,0,0.34
2,0.484,0.368,0.411,0.338,0.341,-0.0123,-0.142,0,-0.0117,0.136,0.167,0.275,0.0256,0,0.35,0,-0.212,-0.264,-0.433,-0.525,-0.374,0,0.848,0,-0.237,-0.221,-0.233,-0.0822,-0.2,0,0.454
2,0.831,0.771,0.87,0.797,0.744,0.072,-0.142,0,0.102,0.363,0.452,0.562,0.0521,0,0.815,0,-0.098,-0.0371,-0.148,-0.238,-0.348,0,0.459,0,-0.154,-0.0409,0,0.158,-0.204,0,0.303
