cID,ID,seq,w30,w31,w32,w3d0,w3d1,w3d,w20,w21,w22,w2d0,w2d1,w2d,w10,w11,w12,w1d0,w1d1,w1d,curve
12, 017AA, 1, , , , , , , 2.90376, 2.96692, 2.83871, 0.0631637, 0.0650489, 0.0641063, 1.54223, 1.62629, 1.45369, 0.0840625, 0.0885451, 0.0863038, 0.075205
12, 017AA, 2, , , , , , , , , , , , , 2.62714, 2.67795, 2.57486, 0.0508041, 0.0522778, 0.0515409, 0.0515409
12, 017B7, 0, , , , , , , , , , , , , 0.669639, 0.436627, 0.927295, 0.233012, 0.257656, 0.245334, 0.245334
12, 017B7, 1, , , , , , , , , , , , , 0.715744, 0.551655, 0.876058, 0.164089, 0.160314, 0.162202, 0.162202
12, 017B7, 2, , , , , , , , , , , , , 0.489957, 0.655696, 0.339293, 0.165738, 0.150665, 0.158202, 0.158202
12, 017B7, 0, , , , , , , , , , , , , 2.57486, 2.7468, 2.40878, 0.171938, 0.166086, 0.169012, 0.169012
12, 017B7, 1, , , , , , , , , , , , , 2.64517, 2.70918, 2.57486, 0.0640148, 0.0703065, 0.0671607, 0.0671607
12, 017B7, 2, , , , , , , , , , , , , 2.74135, 2.91479, 2.58994, 0.173442, 0.151414, 0.162428, 0.162428
12, 017B7, 0, , , , , , , , , , , , , 3.61894, 3.33899, 3.85022, 0.27995, 0.231281, 0.255615, 0.255615
12, 017B7, 1, , , , , , , , , , , , , 3.6334, 3.54648, 3.71293, 0.0869174, 0.0795282, 0.0832228, 0.0832228
12, 017B7, 2, , , , , , , , , , , , , 0.534955, 0.343024, 0.702257, 0.191931, 0.167302, 0.179617, 0.179617
12, 017B7, 0, , , , , , , , , , , , , 3.8253, 3.65398, 4.01013, 0.17132, 0.18483, 0.178075, 0.178075
12, 017B7, 1, , , , , , , , , , , , , 3.86584, 3.88354, 3.85022, 0.0176972, 0.0156236, 0.0166604, 0.0166604
12, 017B7, 2, , , , , , , , , , , , , 0.404892, 0.519146, 0.2783, 0.114254, 0.126592, 0.120423, 0.120423
12, 017B7, 0, , , , , , , , , , , , , 1.5708, 1.72345, 1.43824, 0.152649, 0.132552, 0.1426, 0.1426
12, 017B7, 1, , , , , , , , , , , , , 1.53082, 1.5708, 1.49402, 0.0399789, 0.0367932, 0.0383861, 0.0383861
12, 017B7, 2, , , , , , , , , , , , , 3.00453, 3.14159, 2.88099, 0.137066, 0.123536, 0.130301, 0.130301
12, 017B7, 0, , , , , , , , , , , , , 3.95728, 4.21304, 3.68201, 0.255758, 0.275273, 0.265515, 0.265515
12, 017B7, 1, , , , , , , , , , , , , 4.02346, 4.17197, 3.86042, 0.148505, 0.163042, 0.155773, 0.155773
12, 017B7, 0, , , , , , , 2.56369, 2.76109, 2.29744, 0.197396, 0.266252, 0.231824, 1.4289, 1.89255, 1.10715, 0.463648, 0.321751, 0.392699, 0.312261
12, 017B7, 1, , , , , , , 2.62245, 2.84309, 2.35619, 0.220647, 0.266252, 0.24345, 1.60782, 1.7976, 1.4289, 0.189779, 0.178917, 0.184348, 0.213899
12, 017B7, 2, , , , , , , , , , , , , 0.408908, 0.519146, 0.302885, 0.110238, 0.106023, 0.108131, 0.108131
12, 017B7, 0, , , , , , , 6.05971, -0, 5.77609, 0.223477, 0.283622, 0.253549, 4.91778, 5.06116, 4.78916, 0.143376, 0.128623, 0.136, 0.194774
12, 017B7, 1, , , , , , , 5.86496, 6.10333, 5.57456, 0.238371, 0.290402, 0.264386, 5.00783, 4.97864, 5.03414, 0.0291886, 0.0263099, 0.0277493, 0.146068
12, 017B7, 2, , , , , , , , , , , , , 0.569313, 0.528074, 0.605545, 0.0412387, 0.0362314, 0.0387351, 0.0387351
12, 018A7, 0, , , , , , , , , , , , , 1.70512, 1.85685, 1.5708, 0.15173, 0.134321, 0.143026, 0.143026
12, 018A7, 1, , , , , , , , , , , , , 1.67046, 1.70335, 1.63736, 0.0328831, 0.0331005, 0.0329918, 0.0329918
12, 018A7, 2, , , , , , , , , , , , , 0.563316, 0.507098, 0.610726, 0.0562178, 0.0474099, 0.0518139, 0.0518139
12, 018A7, 0, , , , , , , 0.576375, 0.463648, 0.674741, 0.112728, 0.0983657, 0.105547, 1.72117, 1.51204, 1.92957, 0.209127, 0.208399, 0.208763, 0.157155
12, 018A7, 1, , , , , , , 0.664046, 0.632749, 0.71883, 0.0312973, 0.0547837, 0.0430405, 1.70335, 1.71269, 1.69515, 0.00934544, 0.00819647, 0.00877096, 0.0259057
12, 018A7, 2, , , , , , , , , , , , , 2.78282, 2.81984, 2.7468, 0.0370201, 0.0360203, 0.0365202, 0.0365202
12, 018A7, 0, , , , , , , 1.48279, 1.28474, 1.68791, 0.198044, 0.205116, 0.20158, 2.84067, 2.5128, 3.08609, 0.327876, 0.245422, 0.286649, 0.244115
12, 018A7, 1, , , , , , , 1.67753, 1.63736, 1.72345, 0.0401675, 0.0459136, 0.0430405, 2.76109, 2.76109, 2.76109, 0, 0, 0, 0.0215203
12, 018A7, 2, , , , , , , , , , , , , 3.62411, 3.80264, 3.46334, 0.17853, 0.160763, 0.169646, 0.169646
12, 018A7, 0, , , , , , , , , , , , , 1.63133, 2.03444, 1.38257, 0.403116, 0.248754, 0.325935, 0.325935
12, 018A7, 1, , , , , , , , , , , , , 1.6002, 1.5708, 1.62955, 0.0294032, 0.0293526, 0.0293779, 0.0293779
12, 018A7, 2, , , , , , , , , , , , , 3.76708, 3.86824, 3.64869, 0.101158, 0.118387, 0.109772, 0.109772
12, 018A7, 0, , , , , , , , , , , , , 1.66727, 1.5708, 1.74547, 0.0964737, 0.0781983, 0.087336, 0.087336
12, 018A7, 1, , , , , , , , , , , , , 1.63965, 1.6421, 1.63736, 0.00245133, 0.00228822, 0.00236978, 0.00236978
12, 018A7, 2, , , , , , , , , , , , , 0.758378, 0.54042, 0.927295, 0.217958, 0.168918, 0.193438, 0.193438
12, 018A7, 0, , , , , , , , , , , , , 2.39189, 2.63449, 2.1451, 0.2426, 0.246793, 0.244696, 0.244696
12, 018A7, 1, , , , , , , , , , , , , 2.41734, 2.60117, 2.23677, 0.183831, 0.180577, 0.182204, 0.182204
12, 018A7, 2, , , , , , , , , , , , , 0.514451, 0.432408, 0.610726, 0.0820436, 0.0962748, 0.0891592, 0.0891592
12, 018A7, 0, , , , , , , , , , , , , 1.54139, 1.81577, 1.1659, 0.274382, 0.375489, 0.324935, 0.324935
12, 018A7, 1, , , , , , , , , , , , , 1.60412, 1.5708, 1.63736, 0.0333209, 0.0332474, 0.0332841, 0.0332841
12, 018A7, 2, , , , , , , , , , , , , 0.588003, 0.726642, 0.418224, 0.13864, 0.169778, 0.154209, 0.154209
12, 018A7, 0, , , , , , , , , , , , , 2.79282, 2.89661, 2.70175, 0.103793, 0.0910716, 0.0974321, 0.0974321
12, 018A7, 1, , , , , , , , , , , , , 2.78596, 2.67795, 2.88427, 0.108012, 0.0983123, 0.103162, 0.103162
12, 018A7, 2, , , , , , , , , , , , , 0.739975, 0.785398, 0.68573, 0.0454234, 0.0542454, 0.0498344, 0.0498344
12, 018B6, 0, , , , , , , , , , , , , 3.86824, 4.09214, 3.67332, 0.223905, 0.194918, 0.209411, 0.209411
12, 018B6, 1, , , , , , , , , , , , , 3.88855, 4.15379, 3.62849, 0.265242, 0.260056, 0.262649, 0.262649
12, 018B6, 2, , , , , , , , , , , , , 2.44685, 2.2143, 2.61352, 0.232557, 0.166664, 0.19961, 0.19961
12, 018B6, 0, , , , , , , , , , , , , 1.28274, 1.01914, 1.5708, 0.2636, 0.288056, 0.275828, 0.275828
12, 018B6, 1, , , , , , , , , , , , , 1.46014, 1.4289, 1.49402, 0.0312399, 0.0338854, 0.0325626, 0.0325626
12, 018B6, 2, , , , , , , , , , , , , 6.11804, 0.0831412, 5.88839, 0.24829, 0.229642, 0.238966, 0.238966
12, 018B6, 0, , , , , , , , , , , , , 1.63322, 1.81577, 1.44644, 0.18256, 0.186774, 0.184667, 0.184667
12, 018B6, 1, , , , , , , , , , , , , 1.48014, 1.45369, 1.50838, 0.0264488, 0.0282411, 0.027345, 0.027345
12, 018B6, 2, , , , , , , , , , , , , 2.46107, 2.29744, 2.58994, 0.163633, 0.128866, 0.146249, 0.146249
12, 018B6, 0, , , , , , , , , , , , , 1.5708, 1.32582, 1.84174, 0.244979, 0.270947, 0.257963, 0.257963
12, 018B6, 1, , , , , , , , , , , , , 1.74153, 1.75614, 1.72345, 0.0146131, 0.0180858, 0.0163494, 0.0163494
12, 018B6, 2, , , , , , , , , , , , , 3.36367, 3.46334, 3.26595, 0.0996684, 0.0977271, 0.0986977, 0.0986977
12, 018B6, 0, , , , , , , , , , , , , 1.80765, 1.97569, 1.63736, 0.168043, 0.170281, 0.169162, 0.169162
12, 018B6, 1, , , , , , , , , , , , , 1.76078, 1.8491, 1.65394, 0.0883116, 0.106847, 0.0975793, 0.0975793
12, 018B6, 2, , , , , , , , , , , , , 3.54012, 3.64094, 3.38657, 0.100824, 0.153544, 0.127184, 0.127184
12, 018B6, 0, , , , , , , , , , , , , 0.892134, 0.785398, 0.982794, 0.106736, 0.09066, 0.0986978, 0.0986978
12, 018B6, 1, , , , , , , , , , , , , 0.821097, 0.996491, 0.643501, 0.175394, 0.177596, 0.176495, 0.176495
12, 018B6, 2, , , , , , , , , , , , , 3.54012, 3.64094, 3.38657, 0.100824, 0.153544, 0.127184, 0.127184
12, 018B6, 0, 0.577902, 0.367174, 0.785398, 0.210728, 0.207496, 0.209112, 1.45137, 1.2723, 1.65394, 0.17907, 0.20257, 0.19082, 2.4733, 1.69142, 2.61352, 0.781883, 0.140215, 0.461049, 0.286994
12, 018B6, 1, 0.404892, 0.463648, 0.358771, 0.0587558, 0.0461211, 0.0524385, 1.43527, 1.35213, 1.49402, 0.0831412, 0.0587558, 0.0709485, 2.40378, 1.78615, 2.44685, 0.617624, 0.0430769, 0.33035, 0.151246
12, 018B6, 2, , , , , , , , , , , , , 6.05639, 6.20641, 5.91601, 0.150027, 0.140375, 0.145201, 0.145201
12, 018B6, 0, 2.0169, 2.13753, 1.89255, 0.120623, 0.124355, 0.122489, 1.17227, 1.48766, 0.785398, 0.315381, 0.386876, 0.351129, 0.432408, 1.04272, 0.141897, 0.610314, 0.290511, 0.450413, 0.30801
12, 018B6, 1, 2.30361, 2.25653, 2.35619, 0.0470858, 0.0525831, 0.0498344, 1.48406, 1.48766, 1.48014, 0.00359717, 0.00392163, 0.0037594, 0.321751, 1.07685, 0.394791, 0.755104, 0.0730409, 0.414073, 0.155889
12, 018B6, 2, , , , , , , , , , , , , 3.574, 3.66967, 3.48462, 0.0956668, 0.0893838, 0.0925253, 0.0925253
12, 019A9, 0, , , , , , , 3.51593, 3.66967, 3.38657, 0.153741, 0.129355, 0.141548, 2.33492, 2.52134, 2.14213, 0.186422, 0.192787, 0.189605, 0.165576
12, 019A9, 1, , , , , , , 3.47633, 3.46334, 3.49036, 0.0129864, 0.0140342, 0.0135103, 2.45586, 2.53605, 2.35619, 0.0801848, 0.0996687, 0.0899268, 0.0517185
12, 019A9, 2, , , , , , , , , , , , , 6.05971, 5.96143, 6.18352, 0.0982738, 0.123808, 0.111041, 0.111041
12, 019A9, 0, , , , , , , 4.67537, 4.92348, 4.41389, 0.248114, 0.261479, 0.254796, 3.68838, 3.87441, 3.50877, 0.186026, 0.179615, 0.182821, 0.218808
12, 019A9, 1, , , , , , , 4.53772, 4.71239, 4.33188, 0.174672, 0.205834, 0.190253, 3.5221, 3.64869, 3.40784, 0.126592, 0.114254, 0.120423, 0.155338
12, 019A9, 2, , , , , , , , , , , , , 1.49402, 1.5708, 1.41815, 0.0767721, 0.0758774, 0.0763248, 0.0763248
12, 019A9, 0, , , , , , , , , , , , , 0.535811, 0.674741, 0.390607, 0.13893, 0.145204, 0.142067, 0.142067
12, 019A9, 1, , , , , , , , , , , , , 0.530216, 0.54042, 0.519146, 0.0102038, 0.0110697, 0.0106367, 0.0106367
12, 019A9, 2, , , , , , , , , , , , , 1.72345, 1.71269, 1.73594, 0.0107523, 0.0124992, 0.0116258, 0.0116258
12, 019A9, 0, , , , , , , 1.48014, 1.32582, 1.67046, 0.154319, 0.190329, 0.172324, 2.22187, 1.89255, 2.49809, 0.329326, 0.276218, 0.302772, 0.237548
12, 019A9, 1, , , , , , , 1.33525, 1.32582, 1.344, 0.00943363, 0.00874606, 0.00908984, 2.13753, 2.03444, 2.2143, 0.103082, 0.0767721, 0.0899269, 0.0495084
12, 019A9, 2, , , , , , , , , , , , , 2.84067, 2.9305, 2.76109, 0.089827, 0.0795863, 0.0847066, 0.0847066
12, 019B9, 0, , , , , , , , , , , , , 2.52134, 2.77761, 2.25972, 0.25627, 0.261622, 0.258946, 0.258946
12, 019B9, 1, , , , , , , , , , , , , 2.37945, 2.35619, 2.40378, 0.0232515, 0.0243315, 0.0237915, 0.0237915
12, 019B9, 2, , , , , , , , , , , , , 2.84309, 2.9305, 2.7468, 0.0874056, 0.096292, 0.0918488, 0.0918488
12, 019B9, 0, , , , , , , 3.14159, 3.31626, 2.95624, 0.174672, 0.185348, 0.18001, 2.24044, 2.62245, 1.87368, 0.382011, 0.366754, 0.374383, 0.277196
12, 019B9, 1, , , , , , , 3.29424, 3.29424, 3.29424, 0, 0, 0, 2.27942, 2.35619, 2.2143, 0.0767721, 0.065125, 0.0709486, 0.0354743
12, 019B9, 2, , , , , , , , , , , , , 3.70019, 3.66074, 3.75232, 0.0394533, 0.0521268, 0.04579, 0.04579
12, 019B9, 0, , , , , , , 1.59782, 1.45369, 1.71969, 0.144129, 0.121869, 0.132999, 2.72709, 2.45586, 2.9997, 0.271223, 0.27261, 0.271916, 0.202458
12, 019B9, 1, , , , , , , 1.68791, 1.67567, 1.70335, 0.0122318, 0.0154428, 0.0138373, 2.62714, 2.53605, 2.76109, 0.0910933, 0.133945, 0.112519, 0.0631782
12, 019B9, 2, , , , , , , , , , , , , 3.79948, 3.78509, 3.81633, 0.0143874, 0.0168523, 0.0156198, 0.0156198
12, 019B9, 0, , , , , , , , , , , , , 2.51051, 2.70497, 2.31274, 0.194452, 0.19777, 0.196111, 0.196111
12, 019B9, 1, , , , , , , , , , , , , 2.54442, 2.55359, 2.53605, 0.00917426, 0.00836802, 0.00877114, 0.00877114
12, 019B9, 2, , , , , , , , , , , , , 0.237836, 0.165149, 0.321751, 0.0726873, 0.0839147, 0.078301, 0.078301
12, 019B9, 0, , , , , , , 4.74464, 4.92348, 4.59528, 0.178846, 0.149356, 0.164101, 3.50414, 3.78509, 3.2587, 0.280957, 0.245435, 0.263196, 0.213649
