class,h0, h1, h2, h3, h4, h5, h6, fl0, fl1, fl2, fl3, fl4, fl5, fl6, fle,  fa0, fa1, fa2, fa3, fa4, fa5, fa6, fae, c0, c1, c2, c3, c4, c5, c6, ce
1,0.0288,0.346,0.49,0.49,0.432,0.259,0,0,0.322,0.471,0.476,0.423,0.255,0,0.891,0,0.0551,-0.0626,-0.324,-0.111,-0.0121,0,0.353,0,0.0524,0.046,0,-0.00203,-0.0148,0,0.0713
1,0.134,0.349,0.483,0.643,0.59,0.429,0,0,0.237,0.393,0.576,0.545,0.407,0,1,0,-0.0298,-0.14,-0.224,0.0118,0.14,0,0.3,0,-0.0927,-0.123,0,0.0292,0.0771,0,0.174
1,0.0281,0.253,0.449,0.562,0.534,0.337,0,0,0.229,0.431,0.548,0.524,0.332,0,0.961,0,-0.0373,-0.103,-0.252,-0.00899,0.0657,0,0.283,0,-0.0829,-0.0592,0,0.0344,0.0201,0,0.109
1,0.198,0.339,0.48,0.678,0.621,0.311,0,0,0.174,0.348,0.579,0.556,0.278,0,0.934,0,-0.0925,-0.185,-0.221,0.0222,0.0111,0,0.304,0,-0.157,-0.17,0,0.0372,-0.0533,0,0.24
1,0.0515,0.49,0.619,0.747,0.696,0.361,0,0,0.447,0.584,0.722,0.679,0.352,0,1.28,0,0.18,0.0509,-0.0784,0.145,0.0856,0,0.264,0,0.0277,-0.0641,0,0.0304,-0.0668,0,0.101
1,0.13,0.337,0.544,0.674,0.596,0.311,0,0,0.229,0.458,0.609,0.553,0.289,0,1.01,0,-0.0378,-0.0756,-0.191,0.0193,0.0226,0,0.211,0,-0.12,-0.0876,0,0.00735,-0.0598,0,0.161
1,0.286,0.494,0.623,0.701,0.597,0.364,0,0,0.255,0.433,0.558,0.502,0.316,0,0.957,0,-0.0113,-0.1,-0.242,-0.0312,0.0494,0,0.268,0,-0.0633,-0.0667,0,0.00253,-0.00266,0,0.092
1,0,0.16,0.399,0.665,0.612,0.505,0.293,0,0.111,0.301,0.519,0.417,0.262,0,0.784,0,-0.156,-0.232,-0.281,-0.117,-0.00514,0,0.413,0,-0.184,-0.162,0,-0.0469,-0.0334,0,0.252
1,0.482,0.578,0.699,0.747,0.675,0.265,0,0,0.177,0.378,0.506,0.514,0.185,0,0.853,0,-0.0233,-0.0225,-0.094,-0.286,-0.215,0,0.371,0,-0.111,-0.0747,0,0.0618,-0.103,0,0.179
1,0.587,1.07,1.12,1.17,1.12,0.587,0,0,0.578,0.729,0.88,0.924,0.489,0,1.65,0,0.347,0.267,0.187,0,0.0267,0,0.476,0,0.0564,-0.0652,0,0.13,-0.0325,0,0.16
1,0.788,1.01,1.16,1.28,1.16,0.64,0,0,0.353,0.632,0.887,0.895,0.509,0,1.54,0,0.129,0.185,0.216,0,0.0616,0,0.318,0,-0.173,-0.168,0,0.0946,-0.0168,0,0.26
