"shape","expt","date","hive","tab","isRandom","angle00","angle01","angle10","angle11","angle20","angle21","angle0","angle1","angle2","angleSum","r","seg","degrees","hiveseg","tabseg","tabinstance","tabinstanceRnd"
7," 094A1","11/07/2020","A",2,0,3.50036,6.03821,0,0,0,0,3.74534,0,0,3.74534,"E","094A1E",214.592174841528,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,3.554,6.22443,0,0,0,0,3.61276,0,0,3.61276,"E","094A1E",206.995900393683,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,4.01013,3.74714,1.69515,5.87077,0,0,0.262995,2.10756,0,2.37056,"E","094A1E",135.823083082532,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,3.76184,3.46334,1.50838,1.13417,6.05209,5.53777,0.298499,0.374208,0.514328,1.18704,"E","094A1E",68.0123821132092,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,4.01013,3.50036,1.15839,5.53777,0,0,0.509768,1.90381,0,2.41357,"E","094A1E",138.28737455939,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,2.57026,1.26791,5.92441,5.33264,0,0,1.30234,0.591776,0,1.89412,"E","094A1E",108.525081891319,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,3.38657,1.15839,0,0,0,0,2.22819,0,0,2.22819,"E","094A1E",127.665882953255,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,3.38657,2.9442,1.38545,0.655696,4.99844,4.53772,0.442374,0.729753,0.460723,1.63285,"E","094A1E",93.5554135779365,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,0,4.00376,3.38657,0.380506,4.77114,0,0,0.617191,1.89255,0,2.50974,"E","094A1E",143.797509675163,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,1,0.489957,5.74277,4.2,2.83871,0,0,1.03038,1.36129,0,2.39167,"R","094A1R",137.032596988054,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,1.08084,0.0587558,3.88701,3.14159,0,0,1.02208,0.74542,0,1.7675,"R","094A1R",101.270290289373,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,2.03444,1.01914,0,0,0,0,1.0153,0,0,1.0153,"R","094A1R",58.1724049396325,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,1.81577,0.380506,3.92699,3.14159,0,0,1.43527,0.785398,0,2.22067,"R","094A1R",127.235018691317,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,0,5.96143,5.46077,3.97044,2.4859,0,0,0.500668,1.48454,0,1.98521,"E","094A1E",113.744154447166,"AE","2E","094A12","094A12E"
7," 094A1","11/07/2020","A",2,1,1.81577,1.51204,6.10851,5.61722,3.554,3.20035,0.303734,0.491297,0.353655,1.14869,"R","094A1R",65.8150889688825,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,0.950547,0.571337,5.53777,5.20235,2.19105,1.91009,0.379209,0.33542,0.280957,0.995586,"R","094A1R",57.0428759423116,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,1.81577,1.63322,5.61722,5.17604,3.84385,3.554,0.18256,0.44118,0.289847,0.913586,"R","094A1R",52.3446220222388,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,0.885067,0.302885,4.60173,4.29998,2.76109,2.53605,0.582182,0.301753,0.225038,1.10897,"R","094A1R",63.5393006066229,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,4.01765,1.87368,0,0,0,0,2.14397,0,0,2.14397,"R","094A1R",122.840432402663,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,1.51204,1.39612,0.132552,5.66294,3.79729,3.42764,0.115916,0.752801,0.369644,1.23836,"R","094A1R",70.9528015178206,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,4.65363,3.5221,0,0,0,0,1.13153,0,0,1.13153,"R","094A1R",64.831893392438,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,3.60524,2.14213,0,0,0,0,1.46311,0,0,1.46311,"R","094A1R",83.8300279633859,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,0.74542,5.9803,4.71239,4.46741,3.14159,2.76109,1.0483,0.244978,0.380507,1.67379,"R","094A1R",95.9011027912021,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",2,1,5.71185,5.37836,4.94348,4.71239,2.39617,2.12245,0.333489,0.231091,0.273722,0.838302,"R","094A1R",48.0311665573759,"AR","2R","094A12","094A12R"
7," 094A1","11/07/2020","A",3,0,4.46741,4.10684,1.98321,1.5708,0,5.79323,0.360566,0.41241,0.489957,1.26293,"E","094A1E",72.3605588204571,"AE","3E","094A13","094A13E"
7," 094A1","11/07/2020","A",3,0,2.11122,1.5708,5.53777,5.28373,4.24874,3.76184,0.540419,0.254039,0.486899,1.28136,"E","094A1E",73.4165200368832,"AE","3E","094A13","094A13E"
7," 094A1","11/07/2020","A",3,0,6.22443,3.80756,0,0,0,0,2.41687,0,0,2.41687,"E","094A1E",138.476450631783,"AE","3E","094A13","094A13E"
7," 094A1","11/07/2020","A",3,0,3.84385,0.571337,0,0,0,0,3.27251,0,0,3.27251,"E","094A1E",187.501011414357,"AE","3E","094A13","094A13E"
7," 094A1","11/07/2020","A",3,0,5.49779,2.11122,0,0,0,0,3.38657,0,0,3.38657,"E","094A1E",194.036168025619,"AE","3E","094A13","094A13E"
7," 094A1","11/07/2020","A",3,0,3.14159,2.76109,0.785398,0.41241,5.94389,5.37836,0.380507,0.372988,0.565534,1.31903,"E","094A1E",75.574852051141,"AE","3E","094A13","094A13E"
7," 094A1","11/07/2020","A",3,0,3.84385,2.00742,0.54042,6.05209,0,0,1.83643,0.77151,0,2.60794,"E","094A1E",149.423955223348,"AE","3E","094A13","094A13E"
