shape, expt,date,hive,tab, isRandom, angle00, angle01,angle10, angle11,angle20, angle21,angle0, angle1,angle2, angleSum
7, 094A1,11/07/2020,A,3,0,2.11122,1.5708,5.53777,5.28373,4.24874,3.76184,0.540419,0.254039,0.486899,1.28136
7, 094A1,11/07/2020,A,3,0,0.174672,5.01527,0,0,0,0,1.44258,0,0,1.44258
7, 094A1,11/07/2020,A,3,0,3.20401,0.999459,0,0,0,0,2.20455,0,0,2.20455
7, 094A1,11/07/2020,A,3,0,6.22443,3.80756,0,0,0,0,2.41687,0,0,2.41687
7, 094A1,11/07/2020,A,3,0,0,0,0,0,0,0,0,0,0,0
7, 094A1,11/07/2020,A,3,0,3.84385,0.571337,0,0,0,0,3.27251,0,0,3.27251
7, 094A1,11/07/2020,A,3,0,5.49779,2.11122,0,0,0,0,3.38657,0,0,3.38657
7, 094A1,11/07/2020,A,3,0,2.83871,6.09784,0,0,0,0,3.02406,0,0,3.02406
7, 094A1,11/07/2020,A,3,0,0,0,0,0,0,0,0,0,0,0
7, 094A1,11/07/2020,A,3,0,3.14159,2.76109,0.785398,0.41241,5.94389,5.37836,0.380507,0.372988,0.565534,1.31903
7, 094A1,11/07/2020,A,3,0,3.84385,2.00742,0.54042,6.05209,0,0,1.83643,0.77151,0,2.60794
7, 094A1,11/07/2020,A,3,0,2.78282,2.57026,0.489957,0.0587558,5.30039,4.52704,0.212567,0.431202,0.773351,1.41712
7, 094A1,11/07/2020,A,3,0,2.57026,2.31274,0.286051,6.03821,0,0,0.257512,0.53103,0,0.788542
7, 094A1,11/07/2020,A,3,0,0,0,0,0,0,0,0,0,0,0
7, 094A1,11/07/2020,A,3,0,0,0,0,0,0,0,0,0,0,0
7, 094A1,11/07/2020,A,3,1,0.868539,0.174672,5.99713,5.74277,2.62245,2.06075,0.693867,0.254368,0.561693,1.50993
7, 094A1,11/07/2020,A,3,1,2.4859,1.92957,0.174672,5.53777,0,0,0.55633,0.920091,0,1.47642
7, 094A1,11/07/2020,A,3,1,1.15839,0.950547,5.25281,4.71239,2.62245,2.35619,0.207839,0.54042,0.266252,1.01451
7, 094A1,11/07/2020,A,3,1,0.571337,0.231091,5.94389,5.53777,3.71293,3.38657,0.340247,0.406126,0.326359,1.07273
7, 094A1,11/07/2020,A,3,1,1.31019,0.785398,0.0587558,5.9803,4.58803,4.24874,0.524796,0.361641,0.339293,1.22573
7, 094A1,11/07/2020,A,3,1,1.87368,1.5708,5.0929,4.4813,3.57822,3.26595,0.302885,0.611597,0.312272,1.22675
7, 094A1,11/07/2020,A,3,1,1.32582,1.08084,5.84656,5.23153,3.48089,3.07917,0.244979,0.615023,0.401711,1.26171
7, 094A1,11/07/2020,A,3,1,0.825377,0.358771,4.65363,4.00376,3.37268,2.95624,0.466606,0.64987,0.416439,1.53292
7, 094A1,11/07/2020,A,3,1,1.3734,0.785398,0.231091,6.06452,5.1248,4.4813,0.588003,0.449759,0.643501,1.68126
7, 094A1,11/07/2020,A,3,1,1.72345,0.0624188,0,0,0,0,1.66103,0,0,1.66103
7, 094A1,11/07/2020,A,3,1,2.14213,1.87368,0.390607,6.22769,4.44144,4.06889,0.268453,0.446105,0.372554,1.08711
